title,content,stamp,categoryId,subCategoryId,updateTime
"赛斯纳152-捕天者（Cessna 152-SkyCatcher)","&nbsp;&nbsp;&nbsp;&nbsp;赛斯纳152 “捕天者”系列型飞机是一款双座，三点式固定起落架的单引擎通用航空飞行器。主要用于飞行培训与个人用途。

<br/><br/>

![Cessna](http://lovefly.qiniudn.com/cessna.png)","1417852672356",1,13,
"赛斯纳172-天鹰（Cessna 172-SkyHawk)","&nbsp;&nbsp;&nbsp;&nbsp;赛斯纳172“天鹰”系列是赛斯纳飞机公司研制生产的4座单发活塞发动机轻型螺旋桨飞机，是世界上最成功的生产量最大的轻型通用飞机。 它坚固耐用，性能优良，符合民航仪表飞行法规要求，容易驾驶和维护，起降场地要求很低， 占据世界私人飞机和初级训练飞机市场的主导地位。

<br/><br/>

![Cessna172](http://lovefly.qiniudn.com/cessna172.png)","1417852797456",1,13,
"派珀弓箭型飞机Piper Arrow（Complex）","&nbsp;&nbsp;&nbsp;&nbsp;派珀弓箭型飞机是一款复杂类单引擎教练机。是专为航空训练学校的学员提供的一架理想又经济的空中教室，让学员在天空中对于复杂的，单引擎训练可以有反复训练。数以千计的人在世界各地从事航空服务，所以您选择派珀箭作为教练机将会是一个明智的选择。
<br/><br/>
![piper](http://lovefly.qiniudn.com/piper.png)","1417852942844",1,13,
"派珀塞内卡系列飞机Piper Seneca (Multi-engine)","&nbsp;&nbsp;&nbsp;&nbsp;派珀塞内卡在世界范围内给那些航线中无法找到民航航班的客户提供安全、可靠的商务旅行。 是完美的商务工具，它配备了超大的机舱入口，行李门和舒适的二等舱内室。 无论从飞机本身还是飞行性能，派珀塞内卡都将会是您舒适的个人交通工具和商务旅行工具。用塞内卡作为教练机，更是让你的商业飞行执照培训更充满自信。

<br/><br/>

![piperseneca](http://lovefly.qiniudn.com/piperseneca.png)","1417853058289",1,13,
"单/多引擎地面模拟器(FlyIt® Professional Simulator)","&nbsp;&nbsp;&nbsp;&nbsp;FLYIT ® 模拟器是FAA认证的专业飞机与直升机模拟器的业界领袖。它具有优良的性能与可靠性。广泛应用于直升机紧急医疗服务，军事，执法，以及专业的飞行培训机构，为新学员飞行学习提供高效训练环境。为老飞行员保持飞行熟练程度提供完美训练空间。
<br/><br/>

![FLYIT](http://lovefly.qiniudn.com/flyit.png)","1417854785095",1,13,
"圣地亚哥 （美国加州）","<p>&nbsp;&nbsp;&nbsp;&nbsp;该基地位于气候宜人的南加州旅游城市圣地亚哥。有着最适合飞行的气候与环境。也是许多飞行爱好者寻求职业发展的首选之地。基地拥有先进的培训设施，培训教练，与培训经验。
<br/><br/></p>

<p><img src=""http://lovefly.qiniudn.com/sd.png"" alt=""sd"" />
</p>
","1417855435275",3,32,"1417855592750"
"奥兰多（美国弗州）","<p>&nbsp;&nbsp;&nbsp;&nbsp;奥兰多是世界上最好的休闲旅游城市之一。有许多世界上著名的旅游设施， 比如迪士尼，哈利花园，海洋世界等等。晴朗的天气为飞行员提供了更好的视野和更适宜飞行的条件。
<br/><br/>
<img src=""http://lovefly.qiniudn.com/ol.png"" alt=""奥兰多"" />
</p>
","1417855912535",3,32,"1417855923012"
"迈阿密（美国弗州）","&nbsp;&nbsp;&nbsp;&nbsp;迈阿密拥有全美最适合飞行的海岛天气。可以在这里体验到在别去无法尝试的海上飞行。充裕的飞行设备可以保证你学习计划的按时完成。
<br/><br/>
![迈阿密](http://lovefly.qiniudn.com/mai.png)","1417856094629",3,32,
"麦夸里港（澳大利亚新南威尔士州）","&nbsp;&nbsp;&nbsp;&nbsp;地处美丽的海滨城市，保持了25年的良好业内声誉，拥有丰富的培训经验和优质的培训设施。该基地培养的学员比其它地方的学员更容易找到工作。为澳大利亚乃至国际飞行领域输送了大批飞行人才。<br/><br/>

![麦夸里港](http://lovefly.qiniudn.com/mk.png)","1417856198694",3,32,
"渥太华（加拿大安省）","&nbsp;&nbsp;&nbsp;&nbsp;该基地位于加拿大首都，一座美丽，友善的双语城市。在这里，你不仅能够接受高质量的飞行培训，体验难忘的飞行经历，而且能够欣赏美丽的加拿大风光，友善的渥太华人，安逸的加拿大人生活方式。<br/><br/>

![渥太华](http://lovefly.qiniudn.com/wth.png)","1417856298544",3,32,
"马拉加（西班牙）","&nbsp;&nbsp;&nbsp;&nbsp;位于地中海与大西洋交汇处，采用英语教学。暖和的气候条件使该基地成为欧洲最适合飞行培训的地方之一。提供欧洲航空安全局认证的私人飞行与商业飞行等各种执照。
<br/><br/>

![马拉加](http://lovefly.qiniudn.com/malajia.png)","1417856414781",3,32,
"圣地亚哥校园展示","<font color=""red"" size=""4"">&middot;</font>&nbsp;在这您可以找到很多重要的、帮助你实现职业理想的资源。<br/>
<font color=""red"" size=""4"">&middot;</font>&nbsp;校园坐落于Aero Drive Montgomery Field Municipal机场的对面。在那里有17条航线和许多停机坪。<br/>
<font color=""red"" size=""4"">&middot;</font>&nbsp;学校的办公室，会议室，派遣桌，资源室，考试室，电脑中心，私人会面中心，模拟器和学院中心都配备了一级中央空调，以及独立熟食店，咖啡吧，和室外用餐区。<br/>
<font color=""red"" size=""4"">&middot;</font>&nbsp;Montgomery Field是一个配备了航空塔楼的高交通容量的航空中心，在这您可以体验更多的状况，并获得更多的飞行经验。<br/>
<font color=""red"" size=""4"">&middot;</font>&nbsp;这里的理想气候也为您提供了优良的环境与最好的体验。<br/>
<font color=""red"" size=""4"">&middot;</font>&nbsp;校园周边也又很多定价合理的住宿，商店和饭店。<br/>
<font color=""red"" size=""4"">&middot;</font>&nbsp;我们期望着你的到来！<br/><br/>

![圣地亚哥校园展示](http://lovefly.qiniudn.com/sd-school.png)","1417856739863",3,32,
"校园取景(1)","<h3>停机坪<br/><br/></h3>

<p><img src=""http://lovefly.qiniudn.com/qj1-1.png"" alt=""停机坪"" width=""345"" />

<img src=""http://lovefly.qiniudn.com/qj1-3.png"" alt=""停机坪"" width=""414"" />
<br/>
<br/><br/></p>

<h3>机场<br/><br/></h3>

<p><img src=""http://lovefly.qiniudn.com/qj1-2.png"" alt=""机场"" />

<img src=""http://lovefly.qiniudn.com/qj1-4.png"" alt=""机场"" />
<br/></p>","1417857407289",3,32,"1417859186485"
"校园取景(2)","<h3>校园办公楼</h3>

<p><br/>
<img src=""http://lovefly.qiniudn.com/qj2-1.png"" alt=""校园办公楼"" width=""640"" />
</p>

<p><br/><br/><br/></p>

<h3>休息室</h3>

<p><br/>
<img src=""http://lovefly.qiniudn.com/qj2-2.jpg"" alt=""休息室"" />
</p>

<p><br/><br/><br/></p>

<h3>模拟仓</h3>

<p><br/>
<img src=""http://lovefly.qiniudn.com/qj2-3.jpg"" alt=""模拟仓"" />
</p>","1417857790849",3,32,"1417857837572"
